odt,Proceso1,Proceso2,Proceso3,Proceso4,Proceso5,Proceso6,Fecha1,Fecha1F,Fecha2,Fecha2F,Fecha3,Fecha3F,Fecha4,Fecha4F,Fecha5,Fecha5F,Fecha6,Fecha6F
H4136,Corte,Serigrafia,,,,,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28
H4137,,,,,,,,,,,,,,,,,,
B6065,Corte,Suaje,Serigrafia,Acabado,,,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-04,2017-09-04,2017-09-04
H4138,,,,,,,,,,,,,,,,,,
H4142,,,,,,,,,,,,,,,,,,
L1000V1E1,,,,,,,,,,,,,,,,,,
68279,Corte,Serigrafia,Digital,,,,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19
B6082,Corte,Serigrafia,Acabado,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
H4160,Corte,Serigrafia,,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
G0910,,,,,,,,,,,,,,,,,,
B6079,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-12
B5926RT,,,,,,,,,,,,,,,,,,
B6108,,,,,,,,,,,,,,,,,,
B6109,Corte,Suaje,Serigrafia,Digital,,,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15
B6110,Corte,Suaje,Serigrafia,Acabado,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
H4216,,,,,,,,,,,,,,,,,,
M0679OT,,,,,,,,,,,,,,,,,,
H4217,,,,,,,,,,,,,,,,,,
I3401,Corte,Suaje,Serigrafia,Acabado,,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-19,2017-09-19,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20
H4147,,,,,,,,,,,,,,,,,,
H4148,Corte,Suaje,Serigrafia,Acabado,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05,2017-09-05,2017-09-05
I3405,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15
I3406,Corte,Digital,Acabado,,,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
I3407,Corte,Suaje,Serigrafia,Acabado,,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
J1072R,,,,,,,,,,,,,,,,,,
I3400,,,,,,,,,,,,,,,,,,
H4158,,,,,,,,,,,,,,,,,,
D2382,Corte,Suaje,Serigrafia,Acabado,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15
D2383,Corte,Serigrafia,,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
D2384,,,,,,,,,,,,,,,,,,
F1627,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-20,2017-09-20,2017-09-21,2017-09-21,2017-09-22,2017-09-22,2017-09-22
